"id","building","floor","type","label","lat","lng","uq_maps_identifier"
"1192783","69","5","General Teaching Room","513 - Case Based Learning Teaching room","-27.498906512882463","153.01257476737163","859f4ba4b9b39478f067e36d8ce1b09777539ae1cbf9a7a8ddf5342548f8de3f"
"1192784","69","5","Office","501 - Hot Desk","-27.49903999780277","153.01275649835227","a81f8c4ef59b5a75e816d3ccd9f3a1b31aede56a7c7cf1e0bf1daa81093dd9be"
"1192785","69","5","General Teaching Room","509 - Case Based Learning Teaching room","-27.499044489620964","153.01252979845364","78b3ca5ef0f532ecde51de567b7cfc57a8257aca509a15138d9af594c5d21de2"
"1192786","69","5","room","519C - HYDRAULICS RISER","-27.49895011912843","153.01263480071268","9a706e35e68f8cd07467721a9c565b068cae4f3f2cd3d1b55f8d08a855da151d"
"1192787","69","5","Office","502 - Hot Desk","-27.499020866153938","153.0127264329095","d6524637b016481ba59251d610ca1fb0fee534c42e2c5bff72b7623b21446a7b"
"1192788","69","5","room","596 - Circulation Space","-27.49891729877133","153.01252074157915","092307005dcde713e9ff2372761b80047d6a0cf209d87200066176061bbe8883"
"1192789","69","5","General Teaching Room","504 - Case Based Learning Teaching room","-27.499079170954705","153.01272455742932","828c8eba4874c82449b62b18346202dcc6fae52e54d4f53ca3f1b89d2748d566"
"1192790","69","5","General Teaching Room","508 - Case Based Learning Teaching room","-27.499098493103684","153.01250821610822","8853622b7e3fd92cbd1bd88fc05e82ae6ec2bd4c308cc6bcd4ce76503bfbd5f3"
"1192791","69","5","Meeting Room","503 - Meeting/Board/Conference Room","-27.499005850120056","153.012685329103","f4574dd724edd0edc52416546fc94155815654900e7dd2cf4166e16db38d34f8"
"1192792","69","5","General Teaching Room","505 - Case Based Learning Teaching room","-27.499057962490994","153.01266650288332","dd8cc0ba5f9b8822c0983bcc18b0baf9d8d68a8971b47e4de2aca54d4ff85c9e"
"1192793","69","5","room","519B - COMMS STRUC CABLING SYSTEM ROOM","-27.499018190795518","153.01261088393483","81b44bf9541615e4d168115a7c1686cd747e9e0154f478abdbf4320bff121e5f"
"1192794","69","5","General Teaching Room","512 - Case Based Learning Teaching room","-27.498885304385503","153.01251671282577","c1b36d05c0be93313f4e8913993bae923ed2dc4481e0847bc3eb6270c8483a8f"
"1003218328","69","5","room","519A - ELECTRICAL RISER / DB","-27.49900898158724","153.01259248776302","241a46f4c594118a186da44af4608b35a9f9eef9cb2a77a3634fa91759048d83"
"1192653","69","6","room","626C - HYDRAULICS RISER","-27.498950166171674","153.01263494330908","a04465a77ff457f611a1ee46cc97be6d2f8f1ef1d26bdf04f8e4e1d443da9845"
"1192655","69","6","Office","616 - Office-Academic Staff","-27.498886641193437","153.0125320250861","57c13511907eda43330dcafe74acc80f978856a68e16df7ae2c60515b109eb03"
"1192656","69","6","Meeting Room","602 - Meeting/Board/Conference Room / Non Report","-27.49901163337934","153.01271236656208","archibus_0100696602"
"1192657","69","6","Office","609 - Open Plan-Professional/General Staff","-27.499106872820352","153.01258337245537","245176c0ab988955d0bf46afa36b19805a9e7ff5befd534020a67072d2a1a91a"
"1192659","69","6","Office","612 - Open Plan-Research Staff / Open Plan-Professional/General Staff","-27.49897329548082","153.01255194592667","archibus_0100696612"
"1192660","69","6","Office","617 - Office-Research Staff","-27.498898176581516","153.01256341787928","cd51357579554d2893bbcfd815114cd0b37a3b799a57d476b6ae07c64ea356ab"
"1192661","69","6","Office","624 - Office-Professional/General Staff","-27.498901862116476","153.0127308526677","dac7532a21822c9dbf31863d82706f69f376258c87e9e16888b3d635763deb4a"
"1192662","69","6","room","626 - Plant Room-Mechanical","-27.49898713592646","153.01261769058402","ce610f38dd47b80d0e4c3766df159b47299d55c03a425bdbcc59755ff602bc89"
"1192663","69","6","room","626A - ELECTRICAL RISER / DB","-27.49900935586296","153.01259233544457","527b922a0f5a219a2fa5876ea10e32254c901f3a72cfc52eeb04836a2cb4c517"
"1192664","69","6","stairs","698 - Stairs","-27.498898802332963","153.01242308773905","9d266ea6f00a6a3f06e687d784fa156322f168efdcbff7c384d272e126cab0d1"
"1192665","69","6","Office","610 - Office-Professional/General Staff","-27.499136677002642","153.0125696042873","52df8dcdfe302c590f0b2b3f4d7ecd0df3ecdd0dbc6f9e3678eb545a7a3d446e"
